sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,mean_window_h0_16,max_window_h0_16,var_window_h0_16,late_window_mean_h0_16,max_positive_delta_window_h0_16,fraction_high_h0_windows_16,mean_window_h0_32,max_window_h0_32,var_window_h0_32,late_window_mean_h0_32,max_positive_delta_window_h0_32,fraction_high_h0_windows_32,mean_window_h0_64,max_window_h0_64,var_window_h0_64,late_window_mean_h0_64,max_positive_delta_window_h0_64,fraction_high_h0_windows_64
sample_0001,False,202,111,eos_token,26,18,True,2.66856374063893,2.694919485073147,0.0004297697763040276,2.687435651751912,0.04465898944143509,0.020833333333333332,3.394952879060146,3.4176490679891667,0.00024936940982085633,3.4109726467093444,0.03121228289692768,0.045454545454545456,4.093501790924794,4.114111668737611,7.486884518044136e-05,4.101203809325929,0.01189054119464128,0.19444444444444445
sample_0002,True,218,132,eos_token,3,3,True,2.661582514649727,2.6983558598272888,0.00044717808009792656,2.6678517127437384,0.04474970634988695,0.15384615384615385,3.3848483789153563,3.41591276323581,0.0004961665360366799,3.3782417342762003,0.036548843388099606,0.20833333333333334,4.085432411438144,4.108687309733038,0.000245310599625888,4.063510916772795,0.014876024190761505,0.0
sample_0003,False,358,150,eos_token,195000,70000,True,2.6631055106723602,2.698391952326255,0.0005665092171044768,2.6675862531707235,0.0606539675143436,0.06896551724137931,3.3735853322155815,3.4123576385148753,0.0005222998285468122,3.385485311892116,0.04313471498586097,0.0963855421686747,4.064288852538453,4.101363454307225,0.00048391142638049147,4.076981261224528,0.02894917654257423,0.02666666666666667
sample_0004,False,158,84,eos_token,180,540,True,2.6709142520476257,2.6963485311060267,0.0002779505176905142,2.676554526853657,0.03129799845942305,0.08108108108108109,3.3762168007153837,3.409136580634006,0.0010089045250691207,3.3892695589855313,0.05669023972526199,0.09090909090909091,4.0679175893725406,4.108366534960854,0.0005833206660347371,4.050051629676163,0.02487738303298137,0.4
sample_0005,True,351,196,eos_token,20,20,True,2.6580918940135376,2.701263669029095,0.00041995321251858285,2.666926301039194,0.08667214926777955,0.07058823529411765,3.3825834679927818,3.415797803214227,0.00023705305456764945,3.3939551769293494,0.04176192122418865,0.1111111111111111,4.087510426281963,4.108650181128465,0.0002058407898295499,4.094577842602297,0.027748088210765687,0.1780821917808219
sample_0006,False,234,125,eos_token,50,64,True,2.6733907461257087,2.6967724628622762,0.00019702524809304492,2.678967933390196,0.06905704368416554,0.10714285714285714,3.392938638490124,3.4147642357727968,0.00032839176620171696,3.3716867140296527,0.0334685996982218,0.09615384615384616,4.10145673849284,4.119392838859486,0.0002771771672394549,4.072430108669035,0.007476154840810878,0.022727272727272728
sample_0007,True,221,105,eos_token,260,260,True,2.662862704688993,2.7016952228747426,0.001430568480037474,2.670573973963445,0.14119268041650068,0.05660377358490566,3.3697041850328886,3.4146830623211244,0.0011202126237885228,3.370562606743048,0.04935499232368912,0.02040816326530612,4.065068782513955,4.103657855799839,0.0003272252121390782,4.041428816653487,0.02459896079847912,0.12195121951219512
sample_0008,False,380,172,eos_token,120,160,True,2.6667597612034584,2.6992550126953083,0.0005469741172717356,2.65370903364076,0.11280125258373452,0.10869565217391304,3.3792554005471156,3.411642637763956,0.0005091128272238211,3.365497168336953,0.07281468366296906,0.09090909090909091,4.078584354635103,4.115168597940088,0.000707049773923036,4.082020678467048,0.0323919463488922,0.075
sample_0009,False,512,282,max_new_tokens,4,45,True,2.675549448014536,2.6977376058342375,0.00022897461113988136,2.679557173280207,0.041367007681022194,0.112,3.394939271776576,3.420960659025844,0.00032498897478058,3.3952028539527492,0.030330074027911103,0.0743801652892562,4.096732928929023,4.1203249115508065,0.0002841921534715678,4.088557422813245,0.018868260128445336,0.05309734513274336
sample_0010,True,345,171,eos_token,460,460,True,2.6634684672257456,2.699243206272426,0.0006326738875451889,2.652126043166781,0.09691397449745986,0.07142857142857142,3.384590509428235,3.4160231607370615,0.0007391801177538702,3.366525589297109,0.04555288404094204,0.0625,4.0816307217955385,4.1173420529342595,0.0007642922362897863,4.050816681531806,0.023061708692814875,0.0
