sample_id,window_size,h0_entropy_min,h0_entropy_max,h0_entropy_std,h0_total_persistence_std,dust_score_std
sample_0001,16,2.6137026776301133,2.698784269152392,0.01979193067547171,126.80295465634025,0.006985683135012089
sample_0001,32,3.359110339035741,3.419561994787492,0.015814005370893263,195.26995148283288,0.0045228002779596896
sample_0001,64,4.081173714780995,4.116788534412359,0.009829980645636716,328.7991844608717,0.0023548319813365463
sample_0002,16,2.6256223913340837,2.701872352362881,0.0185203313883501,202.6017012814699,0.006536864379520612
sample_0002,32,3.3314124002935688,3.4151671943467488,0.018900047103088062,268.8296463965743,0.005405407187266514
sample_0002,64,4.074310943881809,4.107265761556498,0.010466993242780838,196.94502848541637,0.002507432244790263
sample_0003,16,2.6091278857138036,2.695904528754442,0.024111630921921992,191.93343318441882,0.0085103477902563
sample_0003,32,3.320782187766804,3.415009788705749,0.02446744491861683,188.73503299633086,0.0069976811113624075
sample_0003,64,4.009343025991833,4.106195842420428,0.023578234435375815,250.01146799674865,0.005648310257509881
sample_0004,16,2.6154192551338973,2.6954532686493518,0.015992798231810636,133.91291662381377,0.0056447560736490945
sample_0004,32,3.3051186623618185,3.410923798699075,0.028875428695740894,202.68586357333882,0.008258363005976717
sample_0004,64,4.062027738581907,4.115109233982973,0.02142823832652713,329.929602674463,0.005133265540803006
sample_0005,16,2.6152690661613165,2.7007569843397965,0.02016071838282278,165.0518750918446,0.0071158490147276545
sample_0005,32,3.3518943870735867,3.4140238680395023,0.013650327007062589,188.15288786234152,0.003903988985321557
sample_0005,64,4.0633253602933666,4.107421856888741,0.012073662550641242,177.07299926068458,0.002892319703471157
sample_0006,16,2.644193535737509,2.697485769009848,0.01408480748516734,143.9711968232699,0.004971319055344282
sample_0006,32,3.347311480407455,3.4222808883871605,0.017006469000680823,173.01081009122677,0.004863844479587864
sample_0006,64,4.079573098630825,4.123762208686096,0.01352831310177363,215.45044209461616,0.0032407901392696174
sample_0007,16,2.553726799304088,2.7033563448939812,0.030531405598650602,165.18405686845642,0.010776246576238789
sample_0007,32,3.3155469722984607,3.4175083709801486,0.028677314171955327,235.6041975314487,0.008201702318046603
sample_0007,64,4.051046592517463,4.103240949933226,0.017317501004941584,313.3378999716042,0.004148513275187901
sample_0008,16,2.5920383661070865,2.6980717649698684,0.022417024044637985,209.63197321394767,0.007912225915375787
sample_0008,32,3.322805993560061,3.4084375743957267,0.02079931867244346,241.32203270231315,0.0059485982245993
sample_0008,64,4.013288366886549,4.115011276653288,0.021789598359771945,346.6351233769817,0.005219831546753326
sample_0009,16,2.627919909038611,2.7032899305878053,0.01791812713873286,188.82150325369008,0.0063243127018009
sample_0009,32,3.3362730862930077,3.4221025851960576,0.017889523033699346,305.58083647767813,0.005116397639417986
sample_0009,64,4.063291754453936,4.11644757308318,0.01267987126281112,455.43965663582975,0.003037540707890549
sample_0010,16,2.577340271840117,2.699097901789587,0.024819029069515913,257.7926594664391,0.00876002829846007
sample_0010,32,3.307829244818974,3.4092828111757663,0.0266354320840789,304.06682873975694,0.007617724719834455
sample_0010,64,4.032051442466149,4.111899557263863,0.02322187706343316,250.21012976764777,0.005562942669669501
