sample_id,correct,token_count,answer_length,stop_reason,pred_answer,gold_answer,extractor_confident,mean_window_h0_16,max_window_h0_16,var_window_h0_16,late_window_mean_h0_16,max_positive_delta_window_h0_16,fraction_high_h0_windows_16,mean_window_h0_32,max_window_h0_32,var_window_h0_32,late_window_mean_h0_32,max_positive_delta_window_h0_32,fraction_high_h0_windows_32,mean_window_h0_64,max_window_h0_64,var_window_h0_64,late_window_mean_h0_64,max_positive_delta_window_h0_64,fraction_high_h0_windows_64
sample_0001,False,202,111,eos_token,26,18,True,2.66856374063893,2.694919485073147,0.000429769776304,2.687435651751912,0.044658989441435,0.0208333333333333,3.394952879060146,3.4176490679891667,0.0002493694098208,3.4109726467093444,0.0312122828969276,0.0454545454545454,4.093501790924794,4.114111668737611,7.486884518044136e-05,4.101203809325929,0.0118905411946412,0.1944444444444444
sample_0002,True,218,132,eos_token,3,3,True,2.661582514649727,2.6983558598272888,0.0004471780800979,2.6678517127437384,0.0447497063498869,0.1538461538461538,3.3848483789153563,3.41591276323581,0.0004961665360366,3.3782417342762003,0.0365488433880996,0.2083333333333333,4.085432411438144,4.108687309733038,0.0002453105996258,4.063510916772795,0.0148760241907615,0.0
sample_0003,False,358,150,eos_token,195000,70000,True,2.66310551067236,2.698391952326255,0.0005665092171044,2.6675862531707235,0.0606539675143436,0.0689655172413793,3.373585332215581,3.4123576385148757,0.0005222998285468,3.385485311892116,0.0431347149858609,0.0963855421686747,4.064288852538453,4.101363454307225,0.0004839114263804,4.076981261224528,0.0289491765425742,0.0266666666666666
sample_0004,False,158,84,eos_token,180,540,True,2.6709142520476257,2.6963485311060267,0.0002779505176905,2.676554526853657,0.031297998459423,0.081081081081081,3.376216800715384,3.409136580634006,0.0010089045250691,3.3892695589855317,0.0566902397252619,0.0909090909090909,4.0679175893725406,4.108366534960854,0.0005833206660347,4.050051629676163,0.0248773830329813,0.4
sample_0005,True,351,196,eos_token,20,20,True,2.6580918940135376,2.701263669029095,0.0004199532125185,2.666926301039194,0.0866721492677795,0.0705882352941176,3.3825834679927818,3.415797803214227,0.0002370530545676,3.393955176929349,0.0417619212241886,0.1111111111111111,4.087510426281963,4.108650181128465,0.0002058407898295,4.094577842602297,0.0277480882107656,0.1780821917808219
sample_0006,False,234,125,eos_token,50,64,True,2.6733907461257087,2.696772462862276,0.000197025248093,2.678967933390196,0.0690570436841655,0.1071428571428571,3.392938638490124,3.4147642357727968,0.0003283917662017,3.3716867140296527,0.0334685996982218,0.0961538461538461,4.10145673849284,4.119392838859486,0.0002771771672394,4.072430108669035,0.0074761548408108,0.0227272727272727
sample_0007,True,221,105,eos_token,260,260,True,2.662862704688993,2.7016952228747426,0.0014305684800374,2.670573973963445,0.1411926804165006,0.0566037735849056,3.3697041850328886,3.4146830623211244,0.0011202126237885,3.370562606743048,0.0493549923236891,0.0204081632653061,4.065068782513955,4.103657855799839,0.000327225212139,4.041428816653487,0.0245989607984791,0.1219512195121951
sample_0008,False,380,172,eos_token,120,160,True,2.6667597612034584,2.6992550126953083,0.0005469741172717,2.65370903364076,0.1128012525837345,0.108695652173913,3.379255400547116,3.411642637763956,0.0005091128272238,3.365497168336953,0.072814683662969,0.0909090909090909,4.078584354635103,4.115168597940088,0.000707049773923,4.082020678467048,0.0323919463488922,0.075
sample_0009,False,512,282,max_new_tokens,4,45,True,2.675549448014536,2.697737605834237,0.0002289746111398,2.679557173280207,0.0413670076810221,0.112,3.394939271776576,3.420960659025844,0.0003249889747805,3.395202853952749,0.0303300740279111,0.0743801652892562,4.096732928929023,4.120324911550807,0.0002841921534715,4.088557422813245,0.0188682601284453,0.0530973451327433
sample_0010,True,345,171,eos_token,460,460,True,2.6634684672257456,2.699243206272426,0.0006326738875451,2.652126043166781,0.0969139744974598,0.0714285714285714,3.384590509428235,3.416023160737061,0.0007391801177538,3.366525589297109,0.045552884040942,0.0625,4.0816307217955385,4.11734205293426,0.0007642922362897,4.050816681531806,0.0230617086928148,0.0
