world_id,state_key,n_examples,n_true,n_false,n_unknown,same_label_mean_cosine,different_label_mean_cosine,same_minus_different_cosine,different_minus_same_cosine,nearest_neighbor_purity
eval_world_000000,final_prompt,72,24,24,24,0.03269826538032956,0.040088693852777836,-0.007390428472448279,0.007390428472448279,1.0
eval_world_000001,final_prompt,72,24,24,24,0.03350694844688194,0.03598821397732805,-0.002481265530446107,0.002481265530446107,1.0
eval_world_000002,final_prompt,72,24,24,24,0.028835760510486107,0.03825546194005896,-0.009419701429572852,0.009419701429572852,1.0
eval_world_000003,final_prompt,72,24,24,24,0.026501411833049018,0.030767440795898438,-0.00426602896284942,0.00426602896284942,1.0
eval_world_000004,final_prompt,72,24,24,24,0.02770748237768809,0.0353358102341493,-0.007628327856461208,0.007628327856461208,1.0
eval_world_000005,final_prompt,72,24,24,24,0.02572960654894511,0.03527422138938197,-0.009544614840436862,0.009544614840436862,1.0
eval_world_000006,final_prompt,72,24,24,24,0.024553891325342483,0.031983191768328346,-0.007429300442985863,0.007429300442985863,1.0
eval_world_000007,final_prompt,72,24,24,24,0.02269995918020534,0.029411538193623226,-0.006711579013417887,0.006711579013417887,1.0
eval_world_000008,final_prompt,72,24,24,24,0.03253665127328052,0.038611688271716786,-0.006075036998436263,0.006075036998436263,1.0
eval_world_000009,final_prompt,72,24,24,24,0.030284073689709538,0.03476053752281048,-0.004476463833100939,0.004476463833100939,1.0
eval_world_000010,final_prompt,72,24,24,24,0.028901681879868253,0.03526565722293324,-0.006363975343064987,0.006363975343064987,1.0
eval_world_000011,final_prompt,72,24,24,24,0.027669953551269385,0.03697750634617276,-0.009307552794903372,0.009307552794903372,1.0
eval_world_000012,final_prompt,72,24,24,24,0.030891394125666594,0.039863697080700485,-0.00897230295503389,0.00897230295503389,1.0
eval_world_000013,final_prompt,72,24,24,24,0.03438258113492514,0.03828138099224479,-0.0038987998573196472,0.0038987998573196472,1.0
eval_world_000014,final_prompt,72,24,24,24,0.03486786271638916,0.03851166726262481,-0.0036438045462356475,0.0036438045462356475,1.0
eval_world_000015,final_prompt,72,24,24,24,0.02991839998586166,0.03510392070920379,-0.005185520723342128,0.005185520723342128,1.0
eval_world_000016,final_prompt,72,24,24,24,0.03091877619713401,0.03582801421483358,-0.004909238017699571,0.004909238017699571,1.0
eval_world_000017,final_prompt,72,24,24,24,0.027493910801007552,0.0370069725645913,-0.009513061763583752,0.009513061763583752,1.0
eval_world_000018,final_prompt,72,24,24,24,0.027741243225940758,0.03637464772220011,-0.00863340449625935,0.00863340449625935,1.0
eval_world_000000,prompt_tail_mean,72,24,24,24,0.029365232961189345,0.03436701924160675,-0.005001786280417402,0.005001786280417402,1.0
eval_world_000001,prompt_tail_mean,72,24,24,24,0.03206435069081864,0.033794006125794515,-0.0017296554349758783,0.0017296554349758783,1.0
eval_world_000002,prompt_tail_mean,72,24,24,24,0.030908304568074176,0.039540237850613065,-0.00863193328253889,0.00863193328253889,1.0
eval_world_000003,prompt_tail_mean,72,24,24,24,0.03019693932959423,0.03358423157974526,-0.0033872922501510284,0.0033872922501510284,1.0
eval_world_000004,prompt_tail_mean,72,24,24,24,0.028959540713236528,0.03412049857002718,-0.00516095785679065,0.00516095785679065,1.0
