world_id,state_key,example_a,example_b,label_a,label_b,pair_type,same_label,cosine_distance
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_01,Unknown,Unknown,Unknown,True,0.007659196853637695
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_02,Unknown,Unknown,Unknown,True,0.018914461135864258
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_03,Unknown,Unknown,Unknown,True,0.0068625807762146
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_04,Unknown,Unknown,Unknown,True,5.960464477539063e-08
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_05,Unknown,Unknown,Unknown,True,0.007659196853637695
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_06,Unknown,Unknown,Unknown,True,0.018914461135864258
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0000_para_07,Unknown,Unknown,Unknown,True,0.0068625807762146
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_00,Unknown,True,True__Unknown,False,0.055756986141204834
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_01,Unknown,True,True__Unknown,False,0.06527352333068848
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_02,Unknown,True,True__Unknown,False,0.0369686484336853
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_03,Unknown,True,True__Unknown,False,0.03651273250579834
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_04,Unknown,True,True__Unknown,False,0.055756986141204834
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_05,Unknown,True,True__Unknown,False,0.06527352333068848
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_06,Unknown,True,True__Unknown,False,0.0369686484336853
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0001_para_07,Unknown,True,True__Unknown,False,0.03651273250579834
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_00,Unknown,False,False__Unknown,False,0.020155131816864014
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_01,Unknown,False,False__Unknown,False,0.02981889247894287
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_02,Unknown,False,False__Unknown,False,0.029903769493103027
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_03,Unknown,False,False__Unknown,False,0.026734769344329834
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_04,Unknown,False,False__Unknown,False,0.020155131816864014
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_05,Unknown,False,False__Unknown,False,0.02981889247894287
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_06,Unknown,False,False__Unknown,False,0.029903769493103027
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0002_para_07,Unknown,False,False__Unknown,False,0.026734769344329834
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_00,Unknown,True,True__Unknown,False,0.030835509300231934
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_01,Unknown,True,True__Unknown,False,0.03384709358215332
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_02,Unknown,True,True__Unknown,False,0.03210020065307617
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_03,Unknown,True,True__Unknown,False,0.027579188346862793
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_04,Unknown,True,True__Unknown,False,0.030835509300231934
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_05,Unknown,True,True__Unknown,False,0.03384709358215332
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_06,Unknown,True,True__Unknown,False,0.03210020065307617
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0003_para_07,Unknown,True,True__Unknown,False,0.027579188346862793
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0004_para_00,Unknown,False,False__Unknown,False,0.023008763790130615
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0004_para_01,Unknown,False,False__Unknown,False,0.0266152024269104
eval_world_000000,final_prompt,eval_world_000000_prop_0000_para_00,eval_world_000000_prop_0004_para_02,Unknown,False,False__Unknown,False,0.019553422927856445
