sample_id,sample_index,status,pred_answer,gold_answer,correct,token_count,runtime_sec,stop_reason,h0_entropy,h0_total_persistence,error
sample_0001,0,ok,26,18,False,202,20.377,eos_token,5.262232806854135,1378.8632600307465,
sample_0002,1,ok,3,3,True,218,22.209,eos_token,5.335615874159641,1432.1915400028229,
sample_0003,2,ok,195000,70000,False,358,36.489,eos_token,5.801473355846344,2024.4730623960495,
sample_0004,3,ok,180,540,False,158,15.891,eos_token,5.0084858541450386,1112.7678018808365,
sample_0005,4,ok,20,20,True,351,35.162,eos_token,5.813105396257163,2086.0877664089203,
sample_0006,5,ok,50,64,False,234,23.364,eos_token,5.421514030447061,1549.8385317325592,
sample_0007,6,ok,260,260,True,221,21.825,eos_token,5.3423929967285515,1428.4503593444824,
sample_0008,7,ok,120,160,False,380,38.044,eos_token,5.897109360683742,2269.8165131807327,
sample_0009,8,ok,4,45,False,512,48.095,max_new_tokens,6.19861658706765,2797.4873673915863,
sample_0010,9,ok,460,460,True,345,30.006,eos_token,5.789638789535934,2001.3111525774002,
